,name,icao,country
583,Axel Rent,AXR,RENTAXEL
584,Altus Airlines,AXS,United States
585,Aviaxess,AXV,France
586,Avioimpex A.D.p.o.,AXX,Macedonia
587,Axis Airways,AXY,France
588,Aladia Airlines,AYD,Mexico
589,Aykavia Aircompany,AYK,Armenia
590,Airman,AYM,AIRMAN
591,Atlantic Airlines,AYN,ATLANTIC NICARAGUA
592,Awsaj Aviation Services,AYS,Libya
593,Ayeet Aviation & Tourism,AYT,Israel
594,Atlant-Soyuz Airlines,AYZ,Russia
595,Alitalia,AZA,Italy
596,Azamat,AZB,Kazakhstan
597,Arcus-Air Logistic,AZE,Germany
598,Air Zermatt AG,AZF,Switzerland
599,Azalhelikopter,AZK,Azerbaijan
600,Africa One,AZL,Zambia
601,Aerocozumel,AZM,Mexico
602,Amaszonas,AZN,Bolivia
603,Arizona Pacific Airways,AZP,United States
604,Aviacon Zitotrans Air Company,AZS,Russia
605,Azimut,AZT,AZIMUT
606,Azov Avia Airlines,AZV,Ukraine
607,Air Zimbabwe,AZW,Zimbabwe
608,Aero Jomacha,MHC,Mexico
609,Air Memphis,MHS,Egypt
610,Air Memphis,MHU,Uganda
611,Air Marrakech Service,MKH,Morocco
612,Air Max Africa,AZX,Gabon
613,Arizona Airways,AZY,ARIZAIR
614,Azza Transport,AZZ,Sudan
615,Air Continental Inc,NAR,United States
616,Antanik-Air,NAU,Ukraine
617,Air Newark,NER,United States
618,Aircraft Support and Services,NFF,Lebanon
619,Aerobanana,OBA,Mexico
620,Amako Airlines,OBK,Nigeria
621,Aserca Airlines,OCA,Venezuela
622,Afrique CArgo Service Senegal,NFS,Senegal
623,Angoservice,NGC,Angola
624,Angel Airlines,NGE,Thailand
625,Angel Flight America,NGF,United States
626,Air Atonabee,OUL,Canada
627,Aero Nova,OVA,Spain
628,Amira Air,XPE,Austria
629,Aero Express Intercontinental,XSS,Mexico
630,Advance Aviation Services,XTJ,United States
631,Air Libya Tibesti,TLR,Libya
632,Aerovic,OVC,Ecuador
633,Airventure,RVE,Belgium
634,Aero Servicios,RVI,Mexico
635,Airvallee,RVL,Italy
636,Aeromover,OVE,Mexico
637,Aerovias Ejecutivas,OVI,Mexico
638,Aero Servicio Pity,PTD,Mexico
639,Aero Copter,PTE,Mexico
640,Rossiya-Russian Airlines,SDM,Russia
641,Air Pal,PLL,Spain
642,Air Pullmantur,PLM,Spain
643,Aviaexpress,AEH,Hungary
644,Aviones Para Servirle,PSG,Mexico
645,Avio Sluzba,SLU,Serbia
646,Air Scorpio,SCU,Bulgaria
647,Air Spirit,SIP,United States
648,Alatau Airlines,BMV,Kazakhstan
649,Aviateca,GUG,Guatemala
650,Aroostook Aviation,PXX,United States
651,Aeropycsa,PYC,Mexico
652,Association of Private Pilots of Kazakhstan,PVK,Kazakhstan
653,The Amiri Flight,BAH,Bahrain
654,Aero Services,BAS,Barbados
655,Ababeel Aviation,BBE,Sudan
656,Air Bashkortostan,BBT,Russia
657,Ambulance Air Africa,MCY,South Africa
